month,value_usd,estimated,source_snapshot
2024-01,511790292,true,comtrade-842-156-8486-x-2024-2025
2024-02,226397379,true,comtrade-842-156-8486-x-2024-2025
2024-03,435264392,true,comtrade-842-156-8486-x-2024-2025
2024-04,511595149,true,comtrade-842-156-8486-x-2024-2025
2024-05,289535825,true,comtrade-842-156-8486-x-2024-2025
2024-06,338993101,true,comtrade-842-156-8486-x-2024-2025
2024-07,377236164,true,comtrade-842-156-8486-x-2024-2025
2024-08,299242758,true,comtrade-842-156-8486-x-2024-2025
2024-09,386938886,true,comtrade-842-156-8486-x-2024-2025
2024-10,279046480,true,comtrade-842-156-8486-x-2024-2025
2024-11,218086360,true,comtrade-842-156-8486-x-2024-2025
2024-12,296282990,true,comtrade-842-156-8486-x-2024-2025
2025-01,329813603,true,comtrade-842-156-8486-x-2024-2025
2025-02,126430084,true,comtrade-842-156-8486-x-2024-2025
2025-03,232033453,true,comtrade-842-156-8486-x-2024-2025
2025-04,193011625,true,comtrade-842-156-8486-x-2024-2025
2025-05,225089608,true,comtrade-842-156-8486-x-2024-2025
2025-06,321873823,true,comtrade-842-156-8486-x-2024-2025
2025-07,301490611,true,comtrade-842-156-8486-x-2024-2025
2025-08,144754061,true,comtrade-842-156-8486-x-2024-2025
2025-09,81501209,true,comtrade-842-156-8486-x-2024-2025
2025-10,136975784,true,comtrade-842-156-8486-x-2024-2025
2025-11,59579342,true,comtrade-842-156-8486-x-2024-2025
2025-12,126059790,true,comtrade-842-156-8486-x-2024-2025
